[2025-04-26 19:47:22] 19:47:22 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:40462 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:22] 19:47:22 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:52042 -> 20.189.172.76:443 | SYN
[2025-04-26 19:47:23] 19:47:23 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:40470 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:24] 19:47:24 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:52052 -> 20.189.172.76:443 | SYN
[2025-04-26 19:47:24] 19:47:24 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:40482 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:25] 19:47:25 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:52054 -> 20.189.172.76:443 | SYN
[2025-04-26 19:47:25] 19:47:25 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:40482 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:25] 19:47:25 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:40494 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:26] 19:47:26 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:40500 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:26] 19:47:26 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:52062 -> 20.189.172.76:443 | SYN
[2025-04-26 19:47:26] 19:47:26 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:40494 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:27] 19:47:27 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:40500 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:27] 19:47:27 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:53040 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:28] 19:47:28 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44592 -> 20.189.172.76:443 | SYN
[2025-04-26 19:47:28] 19:47:28 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:53054 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:28] 19:47:28 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:53040 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:28] 19:47:28 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:44596 -> 20.189.172.76:443 | SYN
[2025-04-26 19:47:29] 19:47:29 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:53066 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:29] 19:47:29 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:53054 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:30] 19:47:30 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:53066 -> 169.254.169.254:80 | SYN
[2025-04-26 19:47:30] 19:47:30 | 60:c7:27:12:9d:2b -> 98:2f:f8:46:21:11 | 192.168.3.100:53076 -> 169.254.169.254:80 | SYN
