[2025-04-28 19:33:05] 19:33:05 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:55928 -> 20.189.173.15:443 | SYN
[2025-04-28 19:33:09] 19:33:09 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:50438 -> 20.42.73.27:443 | SYN
[2025-04-28 19:33:10] 19:33:10 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:41046 -> 20.42.65.84:443 | SYN
[2025-04-28 19:33:19] 19:33:19 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:42128 -> 151.101.128.223:443 | SYN
[2025-04-28 19:33:20] 19:33:20 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:42128 -> 151.101.128.223:443 | SYN
[2025-04-28 19:33:25] 19:33:25 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:50438 -> 20.42.73.27:443 | SYN
[2025-04-28 19:33:26] 19:33:26 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:41046 -> 20.42.65.84:443 | SYN
[2025-04-28 19:33:28] 19:33:28 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:47262 -> 151.101.128.223:443 | SYN
[2025-04-28 19:33:28] 19:33:28 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53332 -> 40.79.141.152:443 | SYN
[2025-04-28 19:33:29] 19:33:29 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:47262 -> 151.101.128.223:443 | SYN
[2025-04-28 19:33:29] 19:33:29 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53332 -> 40.79.141.152:443 | SYN
[2025-04-28 19:33:31] 19:33:31 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:47262 -> 151.101.128.223:443 | SYN
[2025-04-28 19:33:35] 19:33:35 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:47262 -> 151.101.128.223:443 | SYN
[2025-04-28 19:33:43] 19:33:43 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:57766 -> 151.101.192.223:443 | SYN
[2025-04-28 19:33:59] 19:33:59 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:32934 -> 20.42.73.26:443 | SYN
[2025-04-28 19:34:01] 19:34:01 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:59974 -> 20.189.173.10:443 | SYN
[2025-04-28 19:34:02] 19:34:02 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:59984 -> 20.189.173.10:443 | SYN
[2025-04-28 19:34:03] 19:34:03 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:52294 -> 20.42.73.27:443 | SYN
[2025-04-28 19:34:21] 19:34:21 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:43120 -> 20.189.173.28:443 | SYN
[2025-04-28 19:34:22] 19:34:22 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:33916 -> 13.89.178.26:443 | SYN
[2025-04-28 19:34:34] 19:34:34 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:48128 -> 20.189.173.10:443 | SYN
[2025-04-28 19:34:39] 19:34:39 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:53630 -> 20.189.173.10:443 | SYN
[2025-04-28 19:34:48] 19:34:48 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:43856 -> 20.189.173.28:443 | SYN
[2025-04-28 19:34:51] 19:34:51 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:46832 -> 13.89.179.11:443 | SYN
[2025-04-28 19:35:08] 19:35:08 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:33010 -> 13.107.246.33:443 | SYN
[2025-04-28 19:36:19] 19:36:19 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:58822 -> 20.201.28.151:443 | SYN
[2025-04-28 19:36:31] 19:36:31 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:57820 -> 107.182.234.156:443 | SYN
[2025-04-28 19:36:31] 19:36:31 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:57828 -> 107.182.234.156:443 | SYN
[2025-04-28 19:36:32] 19:36:32 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:57820 -> 107.182.234.156:443 | SYN
[2025-04-28 19:36:32] 19:36:32 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:57828 -> 107.182.234.156:443 | SYN
[2025-04-28 19:37:34] 19:37:34 | 58:6d:67:08:1f:97 -> 70:4c:a5:fc:6d:de | 172.16.9.35:60008 -> 89.58.44.75:443 | SYN
